instance_id,dataset_path,seed,jobs,machines,work_centers,machines_per_work_center,ddt,arrival_rate,method,tardiness_rate,makespan,mean_machine_utilization,corrective_maintenance_actions,preventive_maintenance_actions,energy_consumption,status,error,split,training_seed
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,MRT_DR_O,0.45180722891566266,1970,51.025380710659896,0.0,0.0,7839.899999999999,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,LRT_DR_O,0.46987951807228917,1967,50.00508388408744,0.0,0.0,7833.55,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,SPT_DR_O,0.4397590361445783,1970,49.011844331641285,0.0,0.0,7654.83,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,EDD_DR_O,0.46987951807228917,1967,50.00508388408744,0.0,0.0,7833.55,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,MCR_DR_O,0.4578313253012048,1970,49.94247038917089,0.0,0.0,7685.529999999999,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,CR_DR_O,0.45180722891566266,1969,49.598781107161,0.0,0.0,7739.14,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,ATC_DR_O,0.45180722891566266,1970,49.54314720812183,0.0,0.0,7709.44,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,LSPO_DR_O,0.4759036144578313,1967,50.303338417217425,0.0,0.0,7837.939999999999,ok,,validation,
j20_m15_ddt0.5_arr100_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed505.ini,505,20,15,5,3,0.5,100,SLK_DR_O,0.4578313253012048,1968,50.18292682926829,0.0,0.0,7810.81,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,MRT_DR_O,0.47619047619047616,1337,74.58489154824233,0.0,0.0,7246.580000000001,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,LRT_DR_O,0.5178571428571429,1369,72.49573898222548,0.0,0.0,7254.68,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,SPT_DR_O,0.47619047619047616,1399,70.140576602335,0.0,0.0,7184.7,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,EDD_DR_O,0.5178571428571429,1412,70.22662889518413,0.0,0.0,7188.559999999998,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,MCR_DR_O,0.48214285714285715,1423,71.07987819161396,0.0,0.0,7345.52,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,CR_DR_O,0.5238095238095238,1415,71.81154299175499,0.0,0.0,7426.649999999999,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,ATC_DR_O,0.4642857142857143,1375,71.27757575757578,0.0,0.0,7155.080000000001,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,LSPO_DR_O,0.5178571428571429,1469,69.08100748808714,0.0,0.0,7459.6500000000015,ok,,validation,
j20_m15_ddt0.5_arr100_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr100_seed606.ini,606,20,15,5,3,0.5,100,SLK_DR_O,0.4880952380952381,1466,67.18963165075033,0.0,0.0,7241.949999999999,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,MRT_DR_O,0.4759036144578313,3317,29.28951864134258,1.0,0.0,7745.349999999999,ok,,validation,
